dia,mes,ano,hora,temp,hum,data
4.0,10.0,2021.0,14.0,24.466666666666665,54.233333333333334,4-10-2021 14
4.0,10.0,2021.0,15.0,23.1,59.05,4-10-2021 15
4.0,10.0,2021.0,16.0,22.766666666666666,61.75,4-10-2021 16
4.0,10.0,2021.0,17.0,22.0,63.71666666666667,4-10-2021 17
4.0,10.0,2021.0,18.0,22.0,66.98333333333333,4-10-2021 18
4.0,10.0,2021.0,19.0,21.033333333333335,68.13333333333334,4-10-2021 19
4.0,10.0,2021.0,20.0,20.566666666666666,63.083333333333336,4-10-2021 20
4.0,10.0,2021.0,21.0,20.0,64.78333333333333,4-10-2021 21
4.0,10.0,2021.0,22.0,19.85,67.68333333333334,4-10-2021 22
4.0,10.0,2021.0,23.0,19.0,76.06666666666666,4-10-2021 23
5.0,10.0,2021.0,0.0,19.0,78.51666666666667,5-10-2021 0
5.0,10.0,2021.0,1.0,19.0,78.73333333333333,5-10-2021 1
5.0,10.0,2021.0,2.0,18.383333333333333,76.43333333333334,5-10-2021 2
5.0,10.0,2021.0,3.0,18.0,73.96666666666667,5-10-2021 3
5.0,10.0,2021.0,4.0,18.0,71.81666666666666,5-10-2021 4
5.0,10.0,2021.0,5.0,18.0,71.15,5-10-2021 5
5.0,10.0,2021.0,6.0,18.0,70.66666666666667,5-10-2021 6
5.0,10.0,2021.0,7.0,18.0,69.73333333333333,5-10-2021 7
5.0,10.0,2021.0,8.0,18.0,64.01666666666667,5-10-2021 8
5.0,10.0,2021.0,9.0,18.016666666666666,65.13333333333334,5-10-2021 9
5.0,10.0,2021.0,10.0,18.966666666666665,61.35,5-10-2021 10
5.0,10.0,2021.0,11.0,19.0,59.87931034482759,5-10-2021 11
5.0,10.0,2021.0,12.0,19.366666666666667,58.916666666666664,5-10-2021 12
5.0,10.0,2021.0,13.0,19.016666666666666,59.18333333333333,5-10-2021 13
5.0,10.0,2021.0,14.0,19.216666666666665,58.93333333333333,5-10-2021 14
5.0,10.0,2021.0,15.0,19.0,60.53333333333333,5-10-2021 15
5.0,10.0,2021.0,16.0,19.0,62.583333333333336,5-10-2021 16
5.0,10.0,2021.0,17.0,18.322033898305083,64.38983050847457,5-10-2021 17
5.0,10.0,2021.0,18.0,18.0,65.43333333333334,5-10-2021 18
5.0,10.0,2021.0,19.0,18.0,65.86666666666666,5-10-2021 19
5.0,10.0,2021.0,20.0,18.0,65.61666666666666,5-10-2021 20
5.0,10.0,2021.0,21.0,18.0,67.51666666666667,5-10-2021 21
5.0,10.0,2021.0,22.0,18.0,69.48333333333333,5-10-2021 22
5.0,10.0,2021.0,23.0,17.716666666666665,71.46666666666667,5-10-2021 23
6.0,10.0,2021.0,0.0,17.0,73.2,6-10-2021 0
6.0,10.0,2021.0,1.0,17.0,73.05,6-10-2021 1
6.0,10.0,2021.0,2.0,17.0,72.3,6-10-2021 2
6.0,10.0,2021.0,3.0,17.0,72.55,6-10-2021 3
6.0,10.0,2021.0,4.0,17.0,72.15,6-10-2021 4
6.0,10.0,2021.0,5.0,17.0,73.56666666666666,6-10-2021 5
6.0,10.0,2021.0,6.0,17.466666666666665,74.51666666666667,6-10-2021 6
6.0,10.0,2021.0,7.0,18.333333333333332,71.7,6-10-2021 7
6.0,10.0,2021.0,8.0,20.083333333333332,60.583333333333336,6-10-2021 8
6.0,10.0,2021.0,9.0,22.583333333333332,50.766666666666666,6-10-2021 9
6.0,10.0,2021.0,10.0,24.666666666666668,44.833333333333336,6-10-2021 10
6.0,10.0,2021.0,11.0,27.593220338983052,39.728813559322035,6-10-2021 11
6.0,10.0,2021.0,12.0,29.483333333333334,35.93333333333333,6-10-2021 12
6.0,10.0,2021.0,13.0,31.333333333333332,31.733333333333334,6-10-2021 13
6.0,10.0,2021.0,14.0,32.3,29.4,6-10-2021 14
6.0,10.0,2021.0,15.0,30.516666666666666,34.2,6-10-2021 15
6.0,10.0,2021.0,16.0,26.533333333333335,45.86666666666667,6-10-2021 16
